Handling Time Coefficients
 'ConLevel' = Constraint Percentage, 'Window'of 0.1 = 2hrs24min
Prey with no 'N' are matched to other species by taxonomy only
"Pred","Prey","N","ConLevel","Window","Type","logIntC","logPredSizeC","logPreySizeC","logTempC","IntC","PredSizeC","PreySizeC","TempC","R2","Sigma","Pvalue"
"Haustrum haustorium","Haustrum scobina",43,0.3,0.1,"Weighted",6.955485,-0.890176,1.334394,-1.345623,1048.886814,0.410583,3.797695,0.260377,0.46312625080708,0.843120221158215,1.91800711553114e-05
"Haustrum haustorium","Haustrum scobina",58,0.5,0.1,"Unweighted",7.867556,-1.235383,1.440994,-1.363537,2611.174837,0.290723,4.224895,0.255755,0.482374192527849,0.373478688751903,7.98577224347952e-08
"Haustrum haustorium","Haustrum scobina",58,0.5,0.1,"Weighted",7.589021,-1.052272,1.381785,-1.44132,1976.376888,0.349144,3.982003,0.236615,0.466803355437488,0.816416617571356,1.75077154329628e-07
"Haustrum haustorium","Haustrum scobina",77,0.8,0.1,"Unweighted",8.609606,-1.556752,1.453979,-1.28087,5484.084957,0.21082,4.28011,0.277795,0.428666141318170,0.41537984539053,6.13890915879267e-09
"Haustrum haustorium","Haustrum scobina",77,0.8,0.1,"Weighted",8.224624,-1.32091,1.404753,-1.380846,3731.718293,0.266892,4.074519,0.251366,0.444810435994493,0.798986473477901,2.19419726832371e-09
"Haustrum haustorium","Notoacmea spp",64,0.1,0.1,"Unweighted",8.337295,-1.844779,1.237346,-1.317629,4176.775414,0.15806,3.446456,0.267769,0.434780136793244,0.689552212372198,1.55196817175351e-07
"Haustrum haustorium","Notoacmea spp",64,0.1,0.1,"Weighted",8.426426,-1.952691,1.390736,-1.333592,4566.149891,0.141892,4.017806,0.263529,0.477032966076768,2.07550140973236,1.57535062772496e-08
"Haustrum haustorium","Notoacmea spp",65,0.2,0.1,"Unweighted",8.610812,-1.904954,1.316079,-1.394579,5490.703111,0.148829,3.728773,0.247937,0.471993140036737,0.686772432675605,1.53066874730712e-08
"Haustrum haustorium","Notoacmea spp",65,0.2,0.1,"Weighted",8.623923,-1.99769,1.447941,-1.387634,5563.167879,0.135648,4.254347,0.249665,0.505641757901689,2.06517672598264,2.12165596202851e-09
"Haustrum haustorium","Notoacmea spp",67,0.3,0.1,"Unweighted",9.679434,-1.822993,1.217629,-1.804849,15985.449118,0.161541,3.379167,0.164499,0.457469569495755,0.735481209507194,1.90102558139671e-08
"Haustrum haustorium","Notoacmea spp",67,0.3,0.1,"Weighted",8.965562,-1.951813,1.340902,-1.492922,7828.779342,0.142016,3.82249,0.224715,0.492069049108688,2.11601240102224,2.46790943236874e-09
"Haustrum haustorium","Notoacmea spp",69,0.5,0.1,"Unweighted",9.737042,-1.817025,1.100622,-1.753739,16933.379295,0.162508,3.006036,0.173125,0.452059961079727,0.738209543757041,1.43693178467075e-08
"Haustrum haustorium","Notoacmea spp",69,0.5,0.1,"Weighted",9.021909,-1.938146,1.245122,-1.465332,8282.572208,0.143971,3.47336,0.231001,0.485843325378577,2.12306115188335,1.87894932945909e-09
"Haustrum haustorium","Notoacmea spp",73,0.8,0.1,"Unweighted",10.12733,-1.803352,1.164076,-1.948772,25017.490884,0.164746,3.202963,0.142449,0.476015839717583,0.728073230993471,9.72552260947168e-10
"Haustrum haustorium","Notoacmea spp",73,0.8,0.1,"Weighted",9.136391,-1.926839,1.269469,-1.534577,9287.188396,0.145608,3.558962,0.215547,0.492649344406409,2.07605007705912,3.24797522210929e-10
"Haustrum haustorium","Onithochiton neglectus neglectus",27,0.1,0.1,"Unweighted",10.821332,-2.593856,1.643902,-1.156379,50077.746083,0.074731,5.175323,0.314623,0.832480894074593,0.353155896753459,4.33462754578784e-09
"Haustrum haustorium","Onithochiton neglectus neglectus",27,0.1,0.1,"Weighted",10.761401,-2.579389,1.649329,-1.157649,47164.68018,0.07582,5.203488,0.314224,0.826707897201025,1.16990943018538,6.37968133876399e-09
"Haustrum haustorium","Onithochiton neglectus neglectus",28,0.2,0.1,"Unweighted",10.804797,-2.588233,1.647222,-1.160968,49256.513141,0.075153,5.192534,0.313183,0.833061689864246,0.345808034482404,1.73609593367985e-09
"Haustrum haustorium","Onithochiton neglectus neglectus",28,0.2,0.1,"Weighted",10.750678,-2.575843,1.651529,-1.160532,46661.664984,0.07609,5.214948,0.313319,0.827077507124502,1.14543477414181,2.64055877163827e-09
"Haustrum haustorium","Onithochiton neglectus neglectus",28,0.3,0.1,"Unweighted",10.804797,-2.588233,1.647222,-1.160968,49256.513141,0.075153,5.192534,0.313183,0.833061689864246,0.345808034482404,1.73609593367985e-09
"Haustrum haustorium","Onithochiton neglectus neglectus",28,0.3,0.1,"Weighted",10.750678,-2.575843,1.651529,-1.160532,46661.664984,0.07609,5.214948,0.313319,0.827077507124502,1.14543477414181,2.64055877163827e-09
"Haustrum haustorium","Onithochiton neglectus neglectus",37,0.5,0.1,"Unweighted",10.280292,-2.706009,1.786641,-0.926097,29152.39497,0.066803,5.96937,0.396097,0.824855665027932,0.340371263482339,1.40509825996560e-12
"Haustrum haustorium","Onithochiton neglectus neglectus",37,0.5,0.1,"Weighted",10.697396,-2.617701,1.673657,-1.103512,44240.52385,0.07297,5.331629,0.331704,0.825112664806095,1.02138207132938,1.37168054692438e-12
"Haustrum haustorium","Onithochiton neglectus neglectus",47,0.8,0.1,"Unweighted",10.58133,-2.541013,1.456911,-0.954053,39392.474,0.078787,4.292678,0.385177,0.754079443064404,0.360470722243487,3.7159164634204e-13
"Haustrum haustorium","Onithochiton neglectus neglectus",47,0.8,0.1,"Weighted",10.829102,-2.583024,1.57633,-1.108914,50468.376017,0.075545,4.837169,0.329917,0.806831590731424,0.947498410018428,2.10942374678780e-15
"Haustrum haustorium","Patelloida corticata",47,0.1,0.1,"Unweighted",8.394379,-3.336812,1.977288,0.087875,4422.139456,0.03555,7.223131,1.091851,0.444618967475988,0.699509358844988,1.17607662291075e-05
"Haustrum haustorium","Patelloida corticata",47,0.1,0.1,"Weighted",8.26669,-3.176061,1.864599,0.01662,3892.046204,0.04175,6.453345,1.016759,0.416283077381989,2.27535263217977,3.32767900492748e-05
